DATE,DSPIC96
2000-01-01,9833.9333333333333333
2000-04-01,9950.1666666666666667
2000-07-01,10081.5000000000000000
2000-10-01,10149.0000000000000000
2001-01-01,10229.8333333333333333
2001-04-01,10221.9666666666666667
2001-07-01,10455.5333333333333333
2001-10-01,10282.1000000000000000
2002-01-01,10528.4333333333333333
2002-04-01,10612.9666666666666667
2002-07-01,10625.8666666666666667
2002-10-01,10690.8666666666666667
2003-01-01,10693.6333333333333333
2003-04-01,10815.1000000000000000
2003-07-01,10999.5333333333333333
2003-10-01,11029.3000000000000000
2004-01-01,11079.2666666666666667
2004-04-01,11192.6666666666666667
2004-07-01,11264.9000000000000000
2004-10-01,11395.8666666666666667
2005-01-01,11241.4333333333333333
2005-04-01,11344.1333333333333333
2005-07-01,11385.8666666666666667
2005-10-01,11488.0000000000000000
2006-01-01,11700.7000000000000000
2006-04-01,11744.3666666666666667
2006-07-01,11761.3333333333333333
2006-10-01,11904.7333333333333333
2007-01-01,11995.9000000000000000
2007-04-01,12055.3333333333333333
2007-07-01,12075.6333333333333333
2007-10-01,12090.3333333333333333
2008-01-01,12141.6000000000000000
2008-04-01,12391.2000000000000000
2008-07-01,12152.7666666666666667
2008-10-01,12291.7333333333333333
2009-01-01,12282.0333333333333333
2009-04-01,12364.4333333333333333
2009-07-01,12214.7000000000000000
2009-10-01,12232.6000000000000000
2010-01-01,12306.0333333333333333
2010-04-01,12510.5666666666666667
2010-07-01,12578.5000000000000000
2010-10-01,12626.0666666666666667
2011-01-01,12753.1333333333333333
2011-04-01,12727.8333333333333333
2011-07-01,12795.6666666666666667
2011-10-01,12824.3666666666666667
2012-01-01,13021.1666666666666667
2012-04-01,13108.7333333333333333
2012-07-01,13004.8333333333333333
2012-10-01,13366.800000000000
2013-01-01,12837.1666666666666667
2013-04-01,12934.4333333333333333
2013-07-01,12979.6333333333333333
2013-10-01,12997.5333333333333333
2014-01-01,13149.1333333333333333
2014-04-01,13314.5000000000000000
2014-07-01,13439.666666666667
2014-10-01,13631.400000000000
2015-01-01,13819.000000000000
2015-04-01,13860.566666666667
2015-07-01,13937.900000000000
2015-10-01,14016.833333333333
2016-01-01,14130.600000000000
2016-04-01,14102.200000000000
2016-07-01,14181.966666666667
2016-10-01,14274.233333333333
2017-01-01,14422.266666666667
2017-04-01,14579.566666666667
2017-07-01,14681.500000000000
2017-10-01,14772.533333333333
2018-01-01,14927.500000000000
2018-04-01,15061.433333333333
2018-07-01,15220.266666666667
2018-10-01,15365.266666666667
2019-01-01,15554.400000000000
2019-04-01,15542.900000000000
2019-07-01,15647.733333333333
2019-10-01,15722.933333333333
2020-01-01,15826.333333333333
2020-04-01,17397.366666666667
2020-07-01,16779.033333333333
2020-10-01,16431.566666666667
2021-01-01,18408.733333333333
2021-04-01,16976.500000000000
2021-07-01,16780.666666666667
2021-10-01,16590.600000000000
2022-01-01,16117.233333333333
2022-04-01,16042.900000000000
2022-07-01,16301.933333333333
2022-10-01,16452.766666666667
2023-01-01,16885.200000000000
2023-04-01,17025.166666666667
2023-07-01,17082.833333333333
2023-10-01,17216.533333333333
2024-01-01,17451.833333333333
2024-04-01,17554.233333333333
2024-07-01,17622.800000000000
